file,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
Minneapolis_11022021_CityCouncilWard2.csv__hit77,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit78,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit79,Cam Gordon,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit80,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit81,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit82,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit83,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit84,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit85,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit86,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah
