election_id,num_candidates,total_ballot_weight,expected_rows
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit193",5,1995.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit194",5,1986.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit195",5,1994.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit196",5,1993.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit197",5,1992.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit198",5,1993.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit199",5,1996.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit0",5,1858.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit1",5,1851.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit2",5,1810.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit3",5,1842.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit4",5,1841.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit5",5,1853.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit6",5,1868.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit7",5,1849.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit8",5,1840.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit9",5,1839.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit10",5,1843.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit11",5,1838.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit12",5,1848.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit13",5,1841.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit14",5,1845.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit15",5,1853.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit16",5,1832.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit17",5,1852.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit18",5,1832.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit19",5,1825.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit20",5,1841.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit21",5,1836.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit22",5,1864.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit23",5,1843.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit24",5,1854.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit25",5,1850.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit26",5,1850.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit27",5,1838.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit28",5,1843.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit29",5,1851.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit30",5,1853.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit31",5,1851.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit32",5,1824.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit33",5,1864.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit34",5,1838.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit35",5,1847.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit36",5,1832.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit37",5,1844.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit38",5,1841.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit39",5,1834.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit40",5,1862.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit41",5,1837.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit42",5,1833.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit43",5,1825.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit44",5,1847.0,21
"NSW_Local_Government_2016_Clarence_Valley_Council, 9 seats.csv__hit45",5,1858.0,21
