file,method,candidate_cloned,percent,baseline_winner,new_winner
NewYorkCity_06222021_DEMCouncilMember30thCouncilDistrict.csv,OM,Juan D. Ardila,0.5,Robert F. Holden,Clone
NewYorkCity_06222021_DEMCouncilMember32ndCouncilDistrict.csv,OM,Michael G. Scala,0.4,Felicia Singh,Michael G. Scala
NewYorkCity_06222021_DEMCouncilMember32ndCouncilDistrict.csv,OM,Michael G. Scala,0.5,Felicia Singh,Clone
NewYorkCity_06222021_DEMCouncilMember35thCouncilDistrict.csv,OM,Michael Hollingsworth,0.5,Crystal Hudson,Clone
NewYorkCity_06222021_DEMCouncilMember42ndCouncilDistrict.csv,OM,Nikki Lucas,0.5,Charles Barron,Clone
NewYorkCity_06222021_DEMCouncilMember46thCouncilDistrict.csv,OM,Mercedes Narcisse,0.4,Mercedes Narcisse,Clone
NewYorkCity_06222021_DEMCouncilMember49thCouncilDistrict.csv,OM,Kamillah Hanks,0.3,Kamillah Hanks,Clone
NewYorkCity_06222021_DEMCouncilMember49thCouncilDistrict.csv,OM,Kamillah Hanks,0.4,Kamillah Hanks,Clone
NewYorkCity_06222021_REPBoroughPresidentRichmond.csv,OM,Steven Matteo,0.4,Vito Fossella,Steven Matteo
NewYorkCity_06222021_REPBoroughPresidentRichmond.csv,OM,Steven Matteo,0.5,Vito Fossella,Clone
NewYorkCity_06222021_REPCouncilMember15thCouncilDistrict.csv,OM,Aramis Ocasio,0.5,Ariel Rivera-Diaz,Clone
NewYorkCity_06222021_REPCouncilMember19thCouncilDistrict.csv,OM,John-Alexander Sakelos,0.4,Vickie Paladino,John-Alexander Sakelos
NewYorkCity_06222021_REPCouncilMember19thCouncilDistrict.csv,OM,John-Alexander Sakelos,0.5,Vickie Paladino,Clone
