file,candidate_cloned,percent,numCands,om,avg,pm
StLouisPark_11022021_CityCouncilWard2.csv,frozenset({'John Basill'}),0.1,3,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
StLouisPark_11022021_CityCouncilWard2.csv,none,0.2,2,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
StLouisPark_11022021_CityCouncilWard2.csv,frozenset({'Lynette Lungay Dumalag'}),0.2,3,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
StLouisPark_11022021_CityCouncilWard2.csv,frozenset({'John Basill'}),0.2,3,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
StLouisPark_11022021_CityCouncilWard2.csv,none,0.3,2,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
StLouisPark_11022021_CityCouncilWard2.csv,frozenset({'Lynette Lungay Dumalag'}),0.3,3,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
StLouisPark_11022021_CityCouncilWard2.csv,frozenset({'John Basill'}),0.3,3,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
StLouisPark_11022021_CityCouncilWard2.csv,none,0.4,2,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
StLouisPark_11022021_CityCouncilWard2.csv,frozenset({'Lynette Lungay Dumalag'}),0.4,3,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
StLouisPark_11022021_CityCouncilWard2.csv,frozenset({'John Basill'}),0.4,3,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
StLouisPark_11022021_CityCouncilWard2.csv,none,0.5,2,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
StLouisPark_11022021_CityCouncilWard2.csv,frozenset({'Lynette Lungay Dumalag'}),0.5,3,Clone,Clone,Clone
StLouisPark_11022021_CityCouncilWard2.csv,frozenset({'John Basill'}),0.5,3,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
StLouisPark_11022021_CityCouncilWard2.csv,none,0.6,2,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
StLouisPark_11022021_CityCouncilWard2.csv,frozenset({'Lynette Lungay Dumalag'}),0.6,3,Clone,Clone,Clone
StLouisPark_11022021_CityCouncilWard2.csv,frozenset({'John Basill'}),0.6,3,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
StLouisPark_11022021_CityCouncilWard2.csv,none,0.7,2,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
StLouisPark_11022021_CityCouncilWard2.csv,frozenset({'Lynette Lungay Dumalag'}),0.7,3,Clone,Clone,Clone
StLouisPark_11022021_CityCouncilWard2.csv,frozenset({'John Basill'}),0.7,3,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
StLouisPark_11022021_CityCouncilWard2.csv,none,0.8,2,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
StLouisPark_11022021_CityCouncilWard2.csv,frozenset({'Lynette Lungay Dumalag'}),0.8,3,Clone,Clone,Clone
StLouisPark_11022021_CityCouncilWard2.csv,frozenset({'John Basill'}),0.8,3,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
StLouisPark_11022021_CityCouncilWard2.csv,none,0.9,2,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
StLouisPark_11022021_CityCouncilWard2.csv,frozenset({'Lynette Lungay Dumalag'}),0.9,3,Clone,Clone,Clone
StLouisPark_11022021_CityCouncilWard2.csv,frozenset({'John Basill'}),0.9,3,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag
StLouisPark_11022021_CityCouncilWard1.csv,none,0.1,1,Margaret Rog,Margaret Rog,Margaret Rog
StLouisPark_11022021_CityCouncilWard1.csv,frozenset({'Margaret Rog'}),0.1,2,Margaret Rog,Margaret Rog,Margaret Rog
StLouisPark_11022021_CityCouncilWard1.csv,none,0.2,1,Margaret Rog,Margaret Rog,Margaret Rog
StLouisPark_11022021_CityCouncilWard1.csv,frozenset({'Margaret Rog'}),0.2,2,Margaret Rog,Margaret Rog,Margaret Rog
StLouisPark_11022021_CityCouncilWard1.csv,none,0.3,1,Margaret Rog,Margaret Rog,Margaret Rog
StLouisPark_11022021_CityCouncilWard1.csv,frozenset({'Margaret Rog'}),0.3,2,Margaret Rog,Margaret Rog,Margaret Rog
StLouisPark_11022021_CityCouncilWard1.csv,none,0.4,1,Margaret Rog,Margaret Rog,Margaret Rog
StLouisPark_11022021_CityCouncilWard1.csv,frozenset({'Margaret Rog'}),0.4,2,Margaret Rog,Margaret Rog,Margaret Rog
StLouisPark_11022021_CityCouncilWard1.csv,none,0.5,1,Margaret Rog,Margaret Rog,Margaret Rog
StLouisPark_11022021_CityCouncilWard1.csv,frozenset({'Margaret Rog'}),0.5,2,TIED,TIED,TIED
StLouisPark_11022021_CityCouncilWard1.csv,none,0.6,1,Margaret Rog,Margaret Rog,Margaret Rog
StLouisPark_11022021_CityCouncilWard1.csv,frozenset({'Margaret Rog'}),0.6,2,Clone,Clone,Clone
StLouisPark_11022021_CityCouncilWard1.csv,none,0.7,1,Margaret Rog,Margaret Rog,Margaret Rog
StLouisPark_11022021_CityCouncilWard1.csv,frozenset({'Margaret Rog'}),0.7,2,Clone,Clone,Clone
StLouisPark_11022021_CityCouncilWard1.csv,none,0.8,1,Margaret Rog,Margaret Rog,Margaret Rog
StLouisPark_11022021_CityCouncilWard1.csv,frozenset({'Margaret Rog'}),0.8,2,Clone,Clone,Clone
StLouisPark_11022021_CityCouncilWard1.csv,none,0.9,1,Margaret Rog,Margaret Rog,Margaret Rog
