election,candidates,complete,incomplete
SGE2019 LA Pref Data Gosford.csv,6,20.7,79.3
SGE2019 LA Pref Data Monaro.csv,6,30.5,69.5
SGE2019 LA Pref Data Cootamundra.csv,6,21.0,79.0
SGE2019 LA Pref Data Parramatta.csv,7,16.0,84.0
SGE2019 LA Pref Data Epping.csv,5,26.7,73.3
SGE2019 LA Pref Data Blacktown.csv,5,20.9,79.1
SGE2019 LA Pref Data Wyong.csv,4,24.7,75.3
SGE2019 LA Pref Data Lake Macquarie.csv,6,21.9,78.1
SGE2019 LA Pref Data North Shore.csv,9,16.2,83.8
SGE2019 LA Pref Data Kogarah.csv,5,17.9,82.1
SGE2019 LA Pref Data Wagga Wagga.csv,7,28.6,71.4
SGE2019 LA Pref Data Shellharbour.csv,4,26.8,73.2
SGE2019 LA Pref Data Port Macquarie.csv,4,28.9,71.1
SGE2019 LA Pref Data Riverstone.csv,3,31.0,69.0
SGE2019 LA Pref Data Wallsend.csv,5,27.2,72.8
SGE2019 LA Pref Data Penrith.csv,10,11.3,88.7
SGE2019 LA Pref Data Seven Hills.csv,6,16.9,83.1
SGE2019 LA Pref Data Prospect.csv,5,30.1,69.9
SGE2019 LA Pref Data Terrigal.csv,7,21.4,78.6
SGE2019 LA Pref Data Macquarie Fields.csv,6,15.3,84.7
SGE2019 LA Pref Data Dubbo.csv,7,22.5,77.5
SGE2019 LA Pref Data Hornsby.csv,9,16.9,83.1
SGE2019 LA Pref Data Lane Cove.csv,6,28.1,71.9
SGE2019 LA Pref Data Tweed.csv,5,27.7,72.3
SGE2019 LA Pref Data Mulgoa.csv,4,19.5,80.5
SGE2019 LA Pref Data Wollongong.csv,7,21.6,78.4
SGE2019 LA Pref Data Keira.csv,4,33.4,66.6
SGE2019 LA Pref Data Tamworth.csv,6,32.9,67.1
SGE2019 LA Pref Data Clarence.csv,6,28.5,71.5
SGE2019 LA Pref Data Port Stephens.csv,6,16.1,83.9
SGE2019 LA Pref Data Holsworthy.csv,6,16.9,83.1
SGE2019 LA Pref Data Davidson.csv,5,22.8,77.2
SGE2019 LA Pref Data Granville.csv,8,19.9,80.1
SGE2019 LA Pref Data Rockdale.csv,6,16.1,83.9
SGE2019 LA Pref Data Charlestown.csv,4,40.6,59.4
SGE2019 LA Pref Data Newcastle.csv,8,20.4,79.6
SGE2019 LA Pref Data Wakehurst.csv,7,19.6,80.4
SGE2019 LA Pref Data Campbelltown.csv,7,24.8,75.2
SGE2019 LA Pref Data Manly.csv,6,26.9,73.1
SGE2019 LA Pref Data Castle Hill.csv,4,20.0,80.0
SGE2019 LA Pref Data Heffron.csv,5,33.5,66.5
SGE2019 LA Pref Data Londonderry.csv,5,18.8,81.2
SGE2019 LA Pref Data Upper Hunter.csv,8,24.0,76.0
SGE2019 LA Pref Data Bankstown.csv,4,24.0,76.0
SGE2019 LA Pref Data Canterbury.csv,4,36.1,63.9
SGE2019 LA Pref Data Coffs Harbour.csv,8,22.3,77.7
SGE2019 LA Pref Data Liverpool.csv,6,17.8,82.2
SGE2019 LA Pref Data Strathfield.csv,6,29.2,70.8
SGE2019 LA Pref Data Ryde.csv,8,15.9,84.1
SGE2019 LA Pref Data Albury.csv,5,24.9,75.1
SGE2019 LA Pref Data Cronulla.csv,5,17.8,82.2
SGE2019 LA Pref Data Lismore.csv,7,36.4,63.6
SGE2019 LA Pref Data Hawkesbury.csv,9,16.3,83.7
SGE2019 LA Pref Data Ballina.csv,6,40.3,59.7
SGE2019 LA Pref Data Summer Hill.csv,6,43.7,56.3
SGE2019 LA Pref Data Baulkham Hills.csv,6,19.7,80.3
SGE2019 LA Pref Data Heathcote.csv,5,32.3,67.7
SGE2019 LA Pref Data Drummoyne.csv,5,23.0,77.0
SGE2019 LA Pref Data Northern Tablelands.csv,4,34.3,65.7
SGE2019 LA Pref Data Myall Lakes.csv,6,27.7,72.3
SGE2019 LA Pref Data Oxley.csv,5,30.9,69.1
SGE2019 LA Pref Data South Coast.csv,3,33.7,66.3
SGE2019 LA Pref Data Willoughby.csv,8,16.8,83.2
SGE2019 LA Pref Data Cabramatta.csv,5,23.0,77.0
SGE2019 LA Pref Data Vaucluse.csv,7,27.1,72.9
BallotPaperDetails-Melbourne District SE2018.csv,8,99.0,1.0
SB2201 LA Pref Data_NA_Strathfield.csv,6,24.7,75.3
SB2201 LA Pref Data_NA_Willoughby.csv,6,18.9,81.1
SB2101 LA Pref Data_NA_Upper Hunter.csv,13,11.1,88.9
SB2201 LA Pref Data_NA_Bega.csv,7,17.9,82.1
SB2201 LA Pref Data_NA_Monaro.csv,6,31.0,69.0
SB1801 LA Pref Data_NA_Wagga Wagga.csv,7,45.1,54.9
SGE2015 LA Pref Data_NA_Cessnock.csv,5,23.1,76.9
SGE2015 LA Pref Data_NA_Keira.csv,5,29.2,70.8
SGE2015 LA Pref Data_NA_Maroubra.csv,5,20.6,79.4
